File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF018FHH	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BVG	TF ChIP-seq	/human-donors/ENCDO000ABD/	EFO:0003072	SK-N-SH	cell line	Homo sapiens										RXRA-human	DNA						2012-09-10	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF499VYQ/, /files/ENCFF309OCP/, /files/ENCFF830FFS/, /files/ENCFF521HYH/, /files/ENCFF356LFX/, /files/ENCFF005AEA/, /files/ENCFF802NGE/	307236	ENCODE Processing Pipeline	6fd93c4d023640d1f5bf1972ae6a0e84		https://www.encodeproject.org/files/ENCFF018FHH/@@download/ENCFF018FHH.bed.gz				released	s3://encode-public/2020/07/06/9a66b80d-d21e-4b7d-85cc-73a47b094d61/ENCFF018FHH.bed.gz	ENCODE4 v1.4.0 GRCh38	released	borderline replicate concordance, low read depth, mild to moderate bottlenecking		
ENCFF721NYV	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000ECY	TF ChIP-seq	/human-donors/ENCDO000AAB/	EFO:0002791	HeLa-S3	cell line	Homo sapiens										PRDM1-human	DNA						2011-10-29	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF042FSB/, /files/ENCFF989ZLF/, /files/ENCFF356LFX/, /files/ENCFF080PDB/	94419	ENCODE Processing Pipeline	fde764b125a6df4035e121b055231154		https://www.encodeproject.org/files/ENCFF721NYV/@@download/ENCFF721NYV.bed.gz				released	s3://encode-public/2020/12/26/39f6f375-5f68-4080-9523-c126af7effd4/ENCFF721NYV.bed.gz	ENCODE4 v1.6.1 GRCh38	released	low read length, low read depth, mild to moderate bottlenecking		
ENCFF099PYR	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000DZZ	TF ChIP-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens										TBP-human	DNA						2011-10-29	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF309PEQ/, /files/ENCFF278NPZ/, /files/ENCFF356LFX/, /files/ENCFF953XVQ/, /files/ENCFF863XTX/	354803	ENCODE Processing Pipeline	e7d0bfc935ba5453c50d920421b4d90b		https://www.encodeproject.org/files/ENCFF099PYR/@@download/ENCFF099PYR.bed.gz				released	s3://encode-public/2020/12/26/e3ab5ade-d4c5-47e2-911f-b20d506fb787/ENCFF099PYR.bed.gz	ENCODE4 v1.6.1 GRCh38	released	improper control_type of control experiment, low read length, low read depth		
ENCFF796TMZ	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR064LJN	TF ChIP-seq	/human-donors/ENCDO000AAZ/	EFO:0001086	A549	cell line	Homo sapiens										RFX5-human	DNA						2014-07-07	ENCODE			450-650	2, 3	2_1, 3_1							/files/ENCFF646ZPF/, /files/ENCFF041EOD/, /files/ENCFF011CLH/, /files/ENCFF489JCA/, /files/ENCFF356LFX/, /files/ENCFF963JUI/, /files/ENCFF387TOI/	98666	ENCODE Processing Pipeline	73bee4347053c58e35768876c5ca1ed9		https://www.encodeproject.org/files/ENCFF796TMZ/@@download/ENCFF796TMZ.bed.gz				released	s3://encode-public/2021/03/20/53294b1e-af4a-434e-870f-393efd2d0140/ENCFF796TMZ.bed.gz	ENCODE4 v1.7.1 GRCh38	released	moderate library complexity, antibody characterized with exemption, mild to moderate bottlenecking		
ENCFF242YZU	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BKM	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										GATA2-human	DNA						2011-07-18	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF420NED/, /files/ENCFF482TJT/, /files/ENCFF356LFX/, /files/ENCFF197BGH/, /files/ENCFF993ZYO/	359810	ENCODE Processing Pipeline	873c0bf5ab6c7bdeb64d06192213aad3		https://www.encodeproject.org/files/ENCFF242YZU/@@download/ENCFF242YZU.bed.gz				released	s3://encode-public/2020/12/26/266c6838-e73c-45e9-b908-eacf60bc5423/ENCFF242YZU.bed.gz	ENCODE4 v1.6.1 GRCh38	released	low read length, low read depth, borderline replicate concordance, moderate library complexity, mild to moderate bottlenecking		
ENCFF718TWQ	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000DZD	TF ChIP-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens										EP300-human	DNA						2012-05-14	ENCODE			150-350	1, 2	1_1, 2_1							/files/ENCFF863XTX/, /files/ENCFF363VYY/, /files/ENCFF791IGI/, /files/ENCFF278NPZ/, /files/ENCFF356LFX/	351945	ENCODE Processing Pipeline	da0dd7f0aa0c074d1d3661c1bfb0c208		https://www.encodeproject.org/files/ENCFF718TWQ/@@download/ENCFF718TWQ.bed.gz				released	s3://encode-public/2020/12/26/0414fafe-a881-4f2b-aa61-3c594e080823/ENCFF718TWQ.bed.gz	ENCODE4 v1.6.1 GRCh38	released	improper control_type of control experiment, inconsistent platforms, low read depth, low read length		
ENCFF398OOD	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BSU	TF ChIP-seq	/human-donors/ENCDO000AAE/	EFO:0001203	MCF-7	cell line	Homo sapiens										JUND-human	DNA						2012-09-10	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF671SEQ/, /files/ENCFF065JCY/, /files/ENCFF356LFX/, /files/ENCFF708XQE/, /files/ENCFF310KKN/, /files/ENCFF153LTH/, /files/ENCFF731WWK/	249158	ENCODE Processing Pipeline	0639bb526625bea147eeeddbdee80f7a		https://www.encodeproject.org/files/ENCFF398OOD/@@download/ENCFF398OOD.bed.gz				released	s3://encode-public/2020/12/26/bb628242-41e7-4b84-9ad3-313cb1cf19dd/ENCFF398OOD.bed.gz	ENCODE4 v1.6.1 GRCh38	released	low read depth, mild to moderate bottlenecking		
ENCFF660PIB	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000DYQ	TF ChIP-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens										ESRRA-human	DNA						2012-08-20	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF770CJK/, /files/ENCFF591CFV/, /files/ENCFF356LFX/, /files/ENCFF521RQE/, /files/ENCFF196PQA/	82144	ENCODE Processing Pipeline	a1516c61ad08367f01fa3d4aaebab853		https://www.encodeproject.org/files/ENCFF660PIB/@@download/ENCFF660PIB.bed.gz				released	s3://encode-public/2020/12/27/96f18d9a-635b-4ca0-97ba-6cc856958ced/ENCFF660PIB.bed.gz	ENCODE4 v1.6.1 GRCh38	released	improper control_type of control experiment, low read length, mild to moderate bottlenecking		
ENCFF786NAO	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BTC	TF ChIP-seq	/human-donors/ENCDO000AAZ/	EFO:0001086	A549	cell line	Homo sapiens										E2F6-human	DNA						2012-09-10	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF149MYF/, /files/ENCFF634HDG/, /files/ENCFF669SPS/, /files/ENCFF341OFV/, /files/ENCFF342QZE/, /files/ENCFF356LFX/	332931	ENCODE Processing Pipeline	aa181f9c090623f8ce42aad5b3564e7a		https://www.encodeproject.org/files/ENCFF786NAO/@@download/ENCFF786NAO.bed.gz				released	s3://encode-public/2020/12/27/fb54c673-0db3-405c-a204-fc2c9e393141/ENCFF786NAO.bed.gz	ENCODE4 v1.6.1 GRCh38	released	borderline replicate concordance, low read depth		
ENCFF014TJO	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000EDA	TF ChIP-seq	/human-donors/ENCDO000AAB/	EFO:0002791	HeLa-S3	cell line	Homo sapiens										CEBPB-human	DNA						2011-10-29	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF608HJO/, /files/ENCFF356LFX/, /files/ENCFF399CKU/, /files/ENCFF989ZLF/	1159832	ENCODE Processing Pipeline	c0138f118dc11026eff9ca9a3b0cf0f4		https://www.encodeproject.org/files/ENCFF014TJO/@@download/ENCFF014TJO.bed.gz				released	s3://encode-public/2021/01/02/607c1a4b-243a-414b-9034-6617af335560/ENCFF014TJO.bed.gz	ENCODE4 v1.6.1 GRCh38	released	low read length, low read depth		
ENCFF727RNJ	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000EBR	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										MXI1-human	DNA						2012-05-14	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF356LFX/, /files/ENCFF972YCC/, /files/ENCFF203UEY/, /files/ENCFF082XGF/	133509	ENCODE Processing Pipeline	4c073d6fcdff7e42a35ff630c517ca95		https://www.encodeproject.org/files/ENCFF727RNJ/@@download/ENCFF727RNJ.bed.gz				released	s3://encode-public/2021/01/02/2537c9c4-ee42-4ae6-a386-3cf89b82548e/ENCFF727RNJ.bed.gz	ENCODE4 v1.6.1 GRCh38	released	low read length		
ENCFF884WVM	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BOX	TF ChIP-seq	/human-donors/ENCDO000AAR/	EFO:0005234	PFSK-1	cell line	Homo sapiens										REST-human	DNA						2012-02-29	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF240NYD/, /files/ENCFF356LFX/, /files/ENCFF734SRY/, /files/ENCFF962ORJ/	306450	ENCODE Processing Pipeline	1da8da52bc118967cbe38db13cd03153		https://www.encodeproject.org/files/ENCFF884WVM/@@download/ENCFF884WVM.bed.gz				released	s3://encode-public/2020/12/26/2f089081-2be1-4ab5-b434-2e44b258ef6f/ENCFF884WVM.bed.gz	ENCODE4 v1.6.1 GRCh38	released	low read length, low read depth, control low read depth, moderate library complexity, mild to moderate bottlenecking		
ENCFF075BRS	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000EHC	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										GTF2F1-human	DNA						2011-10-29	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF834YIA/, /files/ENCFF356LFX/, /files/ENCFF873UDC/, /files/ENCFF396DTD/	93688	ENCODE Processing Pipeline	7a9d250957559b9b4d4023d0b648f407		https://www.encodeproject.org/files/ENCFF075BRS/@@download/ENCFF075BRS.bed.gz				released	s3://encode-public/2020/12/26/f2df47b2-2248-4de2-ae22-87ed96ca94bb/ENCFF075BRS.bed.gz	ENCODE4 v1.6.1 GRCh38	released	improper control_type of control experiment, low read length, low read depth		
ENCFF926ROG	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR219NRT	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										GTF2F1-human	DNA						2014-07-07	ENCODE			150-350	2, 3	2_1, 3_1							/files/ENCFF870DJA/, /files/ENCFF651ZQW/, /files/ENCFF548TWG/, /files/ENCFF958XVX/, /files/ENCFF356LFX/	50724	ENCODE Processing Pipeline	f7629bc841e78fb50cb2b3074e266815		https://www.encodeproject.org/files/ENCFF926ROG/@@download/ENCFF926ROG.bed.gz				released	s3://encode-public/2020/12/01/942849aa-0b33-4873-a9e2-8ee664f328f4/ENCFF926ROG.bed.gz	ENCODE4 v1.6.1 GRCh38	released	low read length		
ENCFF878TPY	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR605KVV	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/90987/'], '@type': ['Target', 'Item'], 'name': 'ZNF251-human', 'label': 'ZNF251', '@id': '/targets/ZNF251-human/', 'title': 'ZNF251 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '002cd7b5-a920-49ac-9db4-7693cf2c73f3', 'status': 'released'}				ZNF251-human	DNA				formaldehyde		2021-08-13	ENCODE		sonication (generic)		1, 2	1_1, 2_1							/files/ENCFF855UPJ/, /files/ENCFF583OUV/, /files/ENCFF356LFX/, /files/ENCFF948GOX/	62292	ENCODE Processing Pipeline	d419a178de7c3a9038782d0539302bb4		https://www.encodeproject.org/files/ENCFF878TPY/@@download/ENCFF878TPY.bed.gz				released	s3://encode-public/2021/08/02/e0b5d47f-44e0-467d-a34a-c62ad6a301ac/ENCFF878TPY.bed.gz	ENCODE4 v1.9.0 GRCh38	released	missing genetic modification reagents, mild to moderate bottlenecking		
ENCFF460LNS	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BSJ	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										MAX-human	DNA						2012-09-10	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF855LUO/, /files/ENCFF356LFX/, /files/ENCFF618AQB/, /files/ENCFF658MJB/, /files/ENCFF338CQJ/	705302	ENCODE Processing Pipeline	49b2fae44d4bb1ea24fc438529071065		https://www.encodeproject.org/files/ENCFF460LNS/@@download/ENCFF460LNS.bed.gz				released	s3://encode-public/2021/01/02/a95b39f2-3e01-453a-b451-c3fb9a6a5347/ENCFF460LNS.bed.gz	ENCODE4 v1.6.1 GRCh38	released	inconsistent platforms		
ENCFF744QAC	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000DYY	TF ChIP-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens										E2F4-human	DNA						2012-05-14	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF182QPN/, /files/ENCFF278NPZ/, /files/ENCFF683ICJ/, /files/ENCFF356LFX/, /files/ENCFF863XTX/, /files/ENCFF053HZD/, /files/ENCFF042LWY/	82772	ENCODE Processing Pipeline	118bb00dbbce25b22bdb4881167bce4d		https://www.encodeproject.org/files/ENCFF744QAC/@@download/ENCFF744QAC.bed.gz				released	s3://encode-public/2021/01/08/30e580d8-8ffb-449d-8249-daf783ae09a6/ENCFF744QAC.bed.gz	ENCODE4 v1.6.1 GRCh38	released	improper control_type of control experiment, low read length, low read depth		
ENCFF804MKP	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BVM	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										NR2F2-human	DNA						2012-09-10	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF430MNY/, /files/ENCFF356LFX/, /files/ENCFF379RHD/, /files/ENCFF434VWY/, /files/ENCFF485EPH/, /files/ENCFF884VBS/	328381	ENCODE Processing Pipeline	d47f4a861c40fab8d31ce136bc707512		https://www.encodeproject.org/files/ENCFF804MKP/@@download/ENCFF804MKP.bed.gz				released	s3://encode-public/2021/01/02/20e603bb-d8f7-4551-8a06-217ec63fcda3/ENCFF804MKP.bed.gz	ENCODE4 v1.6.1 GRCh38	released	borderline replicate concordance, inconsistent platforms, low read depth		
ENCFF725PAR	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BVK	TF ChIP-seq	/human-donors/ENCDO000ABE/	EFO:0002824	HCT116	cell line	Homo sapiens										USF1-human	DNA						2012-09-10	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF790YEB/, /files/ENCFF943ATG/, /files/ENCFF576UAB/, /files/ENCFF356LFX/, /files/ENCFF989GZE/	191022	ENCODE Processing Pipeline	62c19e90e5dec0e00d6adfa1abb1fa6b		https://www.encodeproject.org/files/ENCFF725PAR/@@download/ENCFF725PAR.bed.gz				released	s3://encode-public/2020/12/26/af26bc4c-f5c3-4258-b71b-d6fcdb0eb58d/ENCFF725PAR.bed.gz	ENCODE4 v1.6.1 GRCh38	released	low read depth		
ENCFF257CCO	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR935GZV	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	{'dbxrefs': ['FactorBook:NFYB'], 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/4801/'], '@type': ['Target', 'Item'], 'label': 'NFYB', 'title': 'NFYB (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '68062f50-dc20-43b9-9064-6cf5d369e7ac', 'schema_version': '14', 'name': 'NFYB-human', '@id': '/targets/NFYB-human/', 'status': 'released'}				NFYB-human	DNA				formaldehyde		2020-07-09	ENCODE		sonication (generic)		1, 2	1_1, 2_1							/files/ENCFF282QNY/, /files/ENCFF356LFX/, /files/ENCFF723HPB/, /files/ENCFF938DNJ/	275488	ENCODE Processing Pipeline	5a98ee2b1321dacc93c6fc7529fef469		https://www.encodeproject.org/files/ENCFF257CCO/@@download/ENCFF257CCO.bed.gz				released	s3://encode-public/2020/07/06/e9a627ec-1f1e-45c2-a432-d0ed44832786/ENCFF257CCO.bed.gz	ENCODE4 v1.4.0 GRCh38	released	missing genetic modification reagents		
ENCFF404IUH	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR248BVU	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': ['michael-snyder:TS-1490'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/9422/'], '@type': ['Target', 'Item'], 'name': 'ZNF264-human', 'label': 'ZNF264', '@id': '/targets/ZNF264-human/', 'title': 'ZNF264 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '39e11f6a-d639-4af0-a72e-0ceb988515f3', 'status': 'released'}				ZNF264-human	DNA				formaldehyde		2020-07-08	ENCODE		sonication (generic)		1, 2	1_1, 2_1							/files/ENCFF596DYI/, /files/ENCFF356LFX/, /files/ENCFF826QKB/, /files/ENCFF657NDS/	342838	ENCODE Processing Pipeline	2972cea572e05f447d4ac000bafa698e		https://www.encodeproject.org/files/ENCFF404IUH/@@download/ENCFF404IUH.bed.gz				released	s3://encode-public/2020/07/01/9b256fb6-b812-45a7-83ac-c3a31862f925/ENCFF404IUH.bed.gz	ENCODE4 v1.4.0 GRCh38	released	missing genetic modification reagents		
ENCFF827VVQ	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BHD	TF ChIP-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens										PAX5-human	DNA						2011-07-18	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF501HUP/, /files/ENCFF075XYL/, /files/ENCFF356LFX/, /files/ENCFF519KIS/, /files/ENCFF882OBA/, /files/ENCFF565MKY/	384500	ENCODE Processing Pipeline	21a133c5e81d2ff4cacc8cc14f44fdd4		https://www.encodeproject.org/files/ENCFF827VVQ/@@download/ENCFF827VVQ.bed.gz				released	s3://encode-public/2020/12/27/f9b04bdf-f06d-4283-9b5a-1ce4346e55f3/ENCFF827VVQ.bed.gz	ENCODE4 v1.6.1 GRCh38	released	low read length, mild to moderate bottlenecking, low read depth, moderate library complexity		
ENCFF060MHX	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR891KPP	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/100507290/'], '@type': ['Target', 'Item'], 'name': 'ZNF865-human', 'label': 'ZNF865', '@id': '/targets/ZNF865-human/', 'title': 'ZNF865 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '6b2c8e54-70f4-41f1-96f6-9b970cc5b523', 'status': 'released'}				ZNF865-human	DNA				formaldehyde		2021-08-13	ENCODE		sonication (generic)		1, 2	1_1, 2_1							/files/ENCFF745LUZ/, /files/ENCFF356LFX/, /files/ENCFF954YHR/, /files/ENCFF202QBG/	379568	ENCODE Processing Pipeline	b640c5f93b98d5efa76f6ead4dd565ed		https://www.encodeproject.org/files/ENCFF060MHX/@@download/ENCFF060MHX.bed.gz				released	s3://encode-public/2021/08/02/e6927313-974b-4f91-9e79-0bdb133395c4/ENCFF060MHX.bed.gz	ENCODE4 v1.9.0 GRCh38	released	missing genetic modification reagents, borderline replicate concordance, mild to moderate bottlenecking		
ENCFF127ZZG	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR414WBQ	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	{'dbxrefs': ['FactorBook:NFIB'], 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/4781/'], '@type': ['Target', 'Item'], 'label': 'NFIB', 'title': 'NFIB (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': 'b6883657-0524-4e08-b5e2-707edd69f179', 'schema_version': '14', 'name': 'NFIB-human', '@id': '/targets/NFIB-human/', 'status': 'released'}				NFIB-human	DNA				formaldehyde		2021-08-13	ENCODE		sonication (generic)		1, 2	1_1, 2_1							/files/ENCFF272GBE/, /files/ENCFF356LFX/, /files/ENCFF310KFM/, /files/ENCFF587HGB/	48068	ENCODE Processing Pipeline	ee7917d87ebd54a7e49a0afcb540b1be		https://www.encodeproject.org/files/ENCFF127ZZG/@@download/ENCFF127ZZG.bed.gz				released	s3://encode-public/2021/08/02/f72c94a5-930d-492d-bf60-1f94dfb2623c/ENCFF127ZZG.bed.gz	ENCODE4 v1.9.0 GRCh38	released	missing genetic modification reagents, borderline replicate concordance, mild to moderate bottlenecking		
ENCFF318ZUN	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR335SUD	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': ['michael-snyder:TS-1024'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/80818/'], '@type': ['Target', 'Item'], 'name': 'ZNF436-human', 'label': 'ZNF436', '@id': '/targets/ZNF436-human/', 'title': 'ZNF436 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': 'cbd2df94-2f19-4d4b-a2bb-edfeff5f46dc', 'status': 'released'}				ZNF436-human	DNA				formaldehyde		2020-08-03	ENCODE		sonication (Bioruptor Pico)	450-650, 250-450	1, 2	1_2, 2_2							/files/ENCFF356LFX/, /files/ENCFF174OKT/, /files/ENCFF533RWZ/, /files/ENCFF469BFJ/	49916	ENCODE Processing Pipeline	50e546ab5ebe87fc2e8c7b1ea186414d		https://www.encodeproject.org/files/ENCFF318ZUN/@@download/ENCFF318ZUN.bed.gz				released	s3://encode-public/2021/03/05/73f00db8-3d5c-4e7f-bf6d-940e252a203c/ENCFF318ZUN.bed.gz	ENCODE4 v1.7.0 GRCh38	released	mild to moderate bottlenecking		
ENCFF795AWO	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR617POJ	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/162239/'], '@type': ['Target', 'Item'], 'name': 'ZFP1-human', 'label': 'ZFP1', '@id': '/targets/ZFP1-human/', 'title': 'ZFP1 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '5d03a9a5-0ee2-4c22-b409-37d6af823854', 'status': 'released'}				ZFP1-human	DNA				formaldehyde		2020-08-03	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF127ODS/, /files/ENCFF463LXE/, /files/ENCFF174OKT/, /files/ENCFF356LFX/	66442	ENCODE Processing Pipeline	16303e76c144e51a71cfe91bab023ba0		https://www.encodeproject.org/files/ENCFF795AWO/@@download/ENCFF795AWO.bed.gz				released	s3://encode-public/2020/07/01/edd93f53-67eb-4712-a113-984740ffaf15/ENCFF795AWO.bed.gz	ENCODE4 v1.4.0 GRCh38	released	mixed read lengths, mild to moderate bottlenecking		
ENCFF551IJP	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	GRCh38	ENCSR854JES	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										POLR2G-human	DNA			SDS	formaldehyde		2018-01-18	ENCODE			200-400	1, 2	1_1, 2_1							/files/ENCFF758QFH/, /files/ENCFF419RSJ/, /files/ENCFF242XTM/, /files/ENCFF905HJA/	806387	ENCODE Processing Pipeline	e47f380ae504af00478199353486645a		https://www.encodeproject.org/files/ENCFF551IJP/@@download/ENCFF551IJP.bed.gz				released	s3://encode-public/2018/01/09/8500f6cb-e3e7-4056-92d9-619852d610ff/ENCFF551IJP.bed.gz	ENCODE3 GRCh38	released	moderate library complexity, low read length, low read depth, mild to moderate bottlenecking		
